NAIVE BAYES;-----;LOGISTIC REGRESSION;-----
accuracy;precision;accuracy;precision
0.805;0.740016831474858;0.75;0.6730903790087464
0.805;0.740016831474858;0.755;0.6774688459454579
0.82;0.7583715986394557;0.755;0.6792538850402546
0.805;0.7382694289837147;0.755;0.6802021743276749
0.79;0.7179434850863422;0.745;0.6713216715257531
0.785;0.7119630709426628;0.76;0.6836920222634508
0.775;0.7003375929811176;0.775;0.7003375929811176
0.775;0.7003375929811176;0.76;0.6878311324529812
0.78;0.7086434573829531;0.745;0.6704205607476635
0.78;0.7086434573829531;0.755;0.6792538850402546
0.775;0.7027342976025361;0.77;0.6957893723527147
0.755;0.6832966255809254;0.755;0.6792538850402546
0.75;0.6767189952904238;0.755;0.6802021743276749
0.745;0.6704205607476635;0.74;0.6669034536891679
0.76;0.6846636432350718;0.74;0.666026184058529
0.745;0.6695562628721213;0.75;0.675754716981132
0.75;0.6748299319727891;0.76;0.6867307692307693
0.74;0.666026184058529;0.765;0.690174518405493
0.735;0.6592939878654165;0.765;0.6891387380640329
0.745;0.6695562628721213;0.765;0.6891387380640329
0.735;0.660045871559633;0.765;0.6891387380640329
0.735;0.660045871559633;0.755;0.6802021743276749
0.725;0.6514295250810604;0.74;0.6651851851851851
0.73;0.6581132452981193;0.73;0.6564901809780516
0.74;0.666026184058529;0.735;0.6608296776654586
0.735;0.6608296776654586;0.725;0.650045045045045
0.745;0.6687267880125022;0.72;0.6451785714285714
0.74;0.664378478664193;0.73;0.6572841444270016
0.735;0.660045871559633;0.755;0.6811904761904761
0.73;0.65572940287226;0.745;0.6713216715257531
0.735;0.6608296776654586;0.74;0.666026184058529
0.735;0.6616472303206997;0.745;0.6704205607476635
0.745;0.6713216715257531;0.75;0.6748299319727891
0.745;0.6722617396473152;0.74;0.6651851851851851
0.74;0.6669034536891679;0.75;0.6748299319727891
0.75;0.675754716981132;0.745;0.6704205607476635
0.765;0.6912536443148688;0.745;0.6713216715257531
0.74;0.6669034536891679;0.745;0.6713216715257531
0.76;0.6867307692307693;0.75;0.6767189952904238
0.76;0.6867307692307693;0.75;0.6777250900360144
0.76;0.6867307692307693;0.755;0.6832966255809254
0.755;0.6811904761904761;0.72;0.648607442977191
0.75;0.6748299319727891;0.725;0.6537421701353809
0.745;0.6704205607476635;0.715;0.6435724192589658
0.735;0.6608296776654586;0.705;0.6344055874777096
0.735;0.6608296776654586;0.695;0.6254368932038835
0.745;0.6704205607476635;0.705;0.6350495049504951
0.745;0.6704205607476635;0.7;0.6301960784313726
0.74;0.666026184058529;0.67;0.604079631852741
