NAIVE BAYES;-----;LOGISTIC REGRESSION;-----
accuracy;precision;accuracy;precision
0.785;0.7191890440386681;0.75;0.6739424860853431
0.79;0.7239455782312925;0.765;0.6881439602868175
0.8;0.7318367346938776;0.755;0.6802021743276749
0.795;0.7270871985157699;0.75;0.6748299319727891
0.795;0.7255314204889877;0.745;0.6687267880125022
0.795;0.7226093294460642;0.75;0.6748299319727891
0.79;0.7165941470927994;0.75;0.675754716981132
0.77;0.696938775510204;0.735;0.6608296776654586
0.76;0.6846636432350718;0.745;0.6722617396473152
0.755;0.6792538850402546;0.765;0.6912536443148688
0.74;0.6651851851851851;0.76;0.6827587463556851
0.74;0.664378478664193;0.765;0.690174518405493
0.73;0.65572940287226;0.73;0.6572841444270016
0.745;0.6695562628721213;0.74;0.666026184058529
0.76;0.6846636432350718;0.74;0.666026184058529
0.77;0.6946863189720333;0.745;0.6695562628721213
0.76;0.6836920222634508;0.735;0.660045871559633
0.755;0.6792538850402546;0.73;0.6543002915451894
0.76;0.6827587463556851;0.725;0.6514295250810604
0.765;0.6881439602868175;0.73;0.65572940287226
0.76;0.6836920222634508;0.735;0.6592939878654165
0.78;0.7048979591836735;0.745;0.6687267880125022
0.775;0.701511175898931;0.745;0.6713216715257531
0.775;0.701511175898931;0.745;0.6713216715257531
0.755;0.6802021743276749;0.735;0.6616472303206997
0.77;0.6946863189720333;0.75;0.675754716981132
0.79;0.7140538033395176;0.76;0.6846636432350718
0.775;0.6992108219434563;0.75;0.675754716981132
0.76;0.6827587463556851;0.735;0.6616472303206997
0.755;0.6783434454863025;0.73;0.6564901809780516
0.77;0.6946863189720333;0.725;0.6514295250810604
0.775;0.7003375929811176;0.72;0.6464625850340135
0.775;0.7003375929811176;0.715;0.6422201029944687
0.765;0.6912536443148688;0.735;0.6616472303206997
0.765;0.690174518405493;0.735;0.6608296776654586
0.76;0.6856757797458606;0.735;0.6608296776654586
0.755;0.6811904761904761;0.74;0.6651851851851851
0.74;0.666026184058529;0.735;0.6608296776654586
0.74;0.666026184058529;0.71;0.636799628942486
0.755;0.6822211214582921;0.705;0.6344055874777096
0.755;0.6822211214582921;0.705;0.6332014114056838
0.755;0.6811904761904761;0.705;0.6332014114056838
0.75;0.6767189952904238;0.7;0.6290373507893723
0.75;0.6767189952904238;0.685;0.6166663364374876
0.745;0.6713216715257531;0.71;0.6386342229199372
0.74;0.6669034536891679;0.705;0.6332014114056838
0.74;0.6669034536891679;0.7;0.6296036106750392
0.74;0.6669034536891679;0.69;0.620271467077397
0.75;0.675754716981132;0.7;0.6290373507893723
